,country,ctyname,ptyid,ptyname,CPARTY,OBS-NPD,ID_GPS,ISO,Partyname,Partyabb,CPARTY-NPD,CPARTYABB,Type_Values,Type_Populism,Type_Populist_Values,V3,V8_Scale,V9,V18,V19,V20,V21,valueinf,routinization,polar,enpp,subsid,execoff,legisoff,formation,group,page,zpolar,zenpp,zsubsid,zexecoff,zlegisoff,zformation,zgroup,zpage,formal,informal,loyalty,formal_uncertain,inform_uncertain,value_uncertain,dependency,dominant,experience,president,coalition,gdppc,regime,volat,seatshare_t2,president_t2,partyinst_t1,routinization_t1,valueinf_t1,seatshare_t1,incumbent_t2
79,25,RDO,2501,Partido Revolucionario Dominicana,DOM_ Modern Revolutionary Party,29,255,DOM,Modern Revolutionary Party,PRM,DOM_ Modern Revolutionary Party,DOM_ PRM,2,3,4,6.6,6,7,2.5,3,4.75,5,0.800000012,0.850000024,0.420324355,2.493532973,2.484906673,2.555934429,33.70786517,0.949999988,0.400000006,4.234106541,-1.156006098,-1.059463739,0.420974761,1.400562406,0.919319689,1.914150596,0.526943207,0.989088714,0.800000012,0.899999976,0.800000012,0.149071202,0.111803398,0.149071202,0.699999988,0,12.175,11.88333333,0.255933374,3658.958286,12,22.0931981,40.98360656,0,0.825000048,0.850000024,0.800000012,33.70786667,0
80,25,RDO,2502,Partido Reformista Social Cristiano,DOM_ Social Christian Reformist Party,85,256,DOM,Social Christian Reformist Party,PRSC,DOM_ Social Christian Reformist Party,DOM_ PRSC,4,3,4,7,7.25,8.5,8.5,9.5,2,8.75,0.866666675,0.6875,0.420324355,2.493532973,2.484906673,2.397895336,12.35955056,0.560000002,0.600000024,3.80666256,-1.156006098,-1.059463739,0.420974761,1.259166598,-0.422631025,0.605251491,1.305520892,0.629278541,0.75,0.625,0.866666675,0.184256941,0.144337565,0.091287084,0.600000024,1,10.14722222,10,0.137343556,3658.958286,12,22.0931981,1.639344262,0,0.777083337,0.6875,0.866666675,12.35955048,0
39,16,ECU,1603,Partido Roldosista Ecuatoriano,ECU_ Fuerza Ecuador,91,263,ECU,Fuerza Ecuador,FE,ECU_ Fuerza Ecuador,ECU_ FE,4,4,4,7.75,9.2,8.8,2.333333333,4.333333333,8.5,6.333333333,0.738095224,0.548611164,3.252504826,6.122335202,3.295836926,0.409161955,6,0.079999998,0.142857149,3.258096457,-0.2249486,0.945440114,1.06430459,-0.520131409,-0.822391033,-1.005701423,-0.474085122,0.167511269,0.555555582,0.541666687,0.738095224,0.06546203,0.043519415,0.074124932,0.192307696,0,2.247222222,0.505555556,1.008566022,2873.150369,8,31.07736343,2.4,0,0.643353224,0.548611164,0.738095224,6,0
42,16,ECU,1606,Parido Sociedad Patriotico,ECU_ January 21 Patriotic Society Party,88,264,ECU,January 21 Patriotic Society Party,PSP,ECU_ January 21 Patriotic Society Party,ECU_ PSP,4,4,4,6.25,8,7.333333333,2,2.666666667,9,4.333333333,0.538461566,0.569444418,3.252504826,6.122335202,2.197224617,1.182919383,24,0.200000003,0.071428575,2.079441547,-0.2249486,0.945440114,0.192749888,0.172140896,0.30908519,-0.60296315,-0.752148569,-0.824646831,0.555555582,0.583333313,0.538461566,0.098969281,0.108203456,0.114789538,0.230769232,0,2.294444444,2.263888889,0.03009803,2873.150369,8,31.07736343,15.2,0,0.553952992,0.569444418,0.538461566,24,0
40,16,ECU,1604,Movimiento Unidad Plurinacional Pachakutik,ECU_ Pachakutik Plurinational Unity Movement - New Country,89,266,ECU,Pachakutik Plurinational Unity Movement - New Country,MUPP,ECU_ Pachakutik Plurinational Unity Movement - New Country,ECU_ MUPP,1,3,3,5,5.5,3.25,1.6,0.8,8.333333333,5.75,0.642857134,0.544871807,3.252504826,6.122335202,2.639057398,0,6,0.059999999,0.857142866,2.564949274,-0.2249486,0.945440114,0.543266118,-0.886204123,-0.822391033,-1.072824478,2.306549072,-0.415960252,0.512820542,0.576923072,0.642857134,0.063530207,0.054203637,0.084765106,0.416666657,0,4.316666667,0,1.670846581,2873.150369,8,31.07736343,3.2,0,0.593864441,0.544871807,0.642857134,6,0
38,16,ECU,1602,Izquierda Democratica,ECU_ Party of the Democratic Left,87,267,ECU,Party of the Democratic Left,ID,ECU_ Party of the Democratic Left,ECU_ ID,1,1,1,5,2,3.2,3.5,3,3.5,2.2,0.794871807,0.671474338,3.252504826,6.122335202,3.433987141,0,7,0.649999976,0.214285716,3.637586117,-0.2249486,0.945440114,1.173902392,-0.886204123,-0.75953126,0.907305062,-0.196021706,0.486954838,0.717948735,0.625,0.794871807,0.066273771,0.06818182,0.083688699,0.192307696,0,9.319444444,0,2.334029913,2873.150369,8,31.07736343,2.4,0,0.733173072,0.671474338,0.794871807,7,0
37,16,ECU,1601,Partido Social Cristiano,ECU_ Social Christian Party,92,268,ECU,Social Christian Party,PSC,ECU_ Social Christian Party,ECU_ PSC,4,4,4,3.4,7.75,7.8,4.4,8.25,5.5,3.25,0.738095224,0.692307711,3.252504826,6.122335202,3.433987141,1.609437943,13,0.400000006,0.285714298,4.043051243,-0.2249486,0.945440114,1.173902392,0.553742409,-0.382372499,0.068267204,0.082041748,0.828263819,0.717948735,0.666666687,0.738095224,0.066273771,0.074226961,0.074124932,0.041666668,0,7.552777778,4,1.515737534,2873.150369,8,31.07736343,8.8,0,0.715201497,0.692307711,0.738095224,13,0
51,18,GTM,1807,Unidad Nacional de la Esperanza,GTM_ National Unity for Hope,97,380,GTM,National Unity for Hope,UNE,GTM_ National Unity for Hope,GTM_ UNE,2,2,2,4,2.5,4,4,NA,NA,4,0.444444448,0.695601821,3.137057781,3.743292363,1.945910096,0.674926639,32.27848101,0.100000001,0.400000006,1.791759491,-0.262900919,-0.368974894,-0.006623776,-0.282354653,0.829468787,-0.938578367,0.526943207,-1.066809416,0.703703701,0.6875,0.444444448,0.092128471,0.097807594,0.14433758,0.111111112,0,5.036111111,0.963888889,1.623779058,2073.094747,12,38.18911728,15.18987342,0,0.570023119,0.695601821,0.444444448,32.27848053,1
50,18,GTM,1805,Partido Patriota,GTM_ Patriot Party,36,381,GTM,Patriot Party,PP,GTM_ Patriot Party,GTM_ PP,4,4,4,NA,9,9,NA,NA,NA,9,0.407407403,0.616402149,3.137057781,3.743292363,2.079441547,0,18.35443038,0.100000001,0,1.945910096,-0.262900919,-0.368974894,0.099309839,-0.886204123,-0.045794081,-0.938578367,-1.030212045,-0.937049806,0.518518507,0.714285731,0.407407403,0.062113002,0.10910894,0.128800258,0.111111112,0,0,0,0,2073.094747,12,38.18911728,35.44303797,1,0.511904776,0.616402149,0.407407403,18.35443115,0
54,20,MEX,2001,Partido Revolucionario Institucional,MEX_ Coalición PRI-PVEM ,98,631,MEX,Coalición PRI-PVEM ,PRI-PVEM,MEX_ Coalición PRI-PVEM ,MEX_ PRI-PVEM,4,2,2,5.833333333,4.166666667,6.058823529,6,6.533333333,3.333333333,3.9375,0.888888896,0.947368443,5.271096706,3.044802027,3.465735912,3.218431234,20.6,0.800000012,0.894736826,4.127134323,0.438647926,-0.754889011,1.199089527,1.99329114,0.095361933,1.410727978,2.452898264,0.899042547,0.947368443,0.947368443,0.888888896,0.029434051,0.037158672,0.04802921,0.944444418,1,26.45277778,23.98888889,1.242391944,7834.073299,11,17.68,21.2,1,0.918128669,0.947368443,0.888888896,20.60000038,0
58,20,MEX,2005,Convergencia (Movimiento Ciudadano),MEX_ Movimiento Ciudadano,102,633,MEX,Movimiento Ciudadano,MC,MEX_ Movimiento Ciudadano,MEX_ MC,1,2,1,5.307692308,3.55,5.153846154,5.25,4.818181818,4.444444444,2.142857143,0.433333337,0.354166687,5.271096706,3.044802027,2.397895336,0,3.2,0.140000001,0.157894731,2.302585125,0.438647926,-0.754889011,0.351946652,-0.886204123,-0.998398483,-0.804332256,-0.415545493,-0.636810899,0.416666687,0.291666657,0.433333337,0.08703883,0.077628411,0.128833532,1,0,0,0,0,7834.073299,11,17.68,3.6,0,0.393750012,0.354166687,0.433333337,3.200000048,0
55,20,MEX,2002,Partido Accion  Nacional,MEX_ Partido Accion Nacional,99,635,MEX,Partido Accion Nacional,PAN,MEX_ Partido Accion Nacional,MEX_ PAN,4,2,2,4.75,2.636363636,4.117647059,7.555555556,7.615384615,3.272727273,2.470588235,0.851851881,0.837719321,5.271096706,3.044802027,3.465735912,2.206135273,41.2,0.800000012,0.105263159,4.234106541,0.438647926,-0.754889011,1.199089527,1.087600946,1.39027369,1.410727978,-0.620434284,0.989088714,0.833333373,0.842105269,0.851851881,0.041594516,0.056281801,0.049776293,0.888888896,0,8.197222222,8.080555556,0.110348061,7834.073299,11,17.68,41.2,0,0.844785571,0.837719321,0.851851881,41.20000076,1
56,20,MEX,2003,Partido de la Revolucionario Democratica,MEX_ Partido de la Revolucion Democrática,100,636,MEX,Partido de la Revolucion Democrática,PRD,MEX_ Partido de la Revolucion Democrática,MEX_ PRD,1,2,1,5.888888889,4.533333333,6.176470588,4.222222222,3.307692308,5.545454545,3.058823529,0.777777791,0.779727101,5.271096706,3.044802027,2.995732307,0,25.4,0.5,0.157894731,2.944438934,0.438647926,-0.754889011,0.826224685,-0.886204123,0.397088885,0.403882384,-0.415545493,-0.096516691,0.796296299,0.763157904,0.777777791,0.040554486,0.060456354,0.04802921,0.944444418,0,0,0,0,7834.073299,11,17.68,25,0,0.778752446,0.779727101,0.777777791,25.39999962,0
61,21,NIC,2103,Partido Liberal Constitucionalista,NIC_ Liberal Constitutionalist Party,44,714,NIC,Liberal Constitutionalist Party,PLC,NIC_ Liberal Constitutionalist Party,NIC_ PLC,4,2,2,6,4.333333333,7,2,4,10,4,0.843137264,0.833333313,5.520090103,2.467188068,0,1.974466801,27.17391304,0.899999976,0.277777791,3.68887949,0.520502567,-1.074019074,-1.550359607,0.880329728,0.508596778,1.746343017,0.051145818,0.530132115,0.833333313,0.833333313,0.843137264,0.063536674,0.072043821,0.059785835,0.533333361,0,8.288888889,6.202777778,1.126911759,1145.783734,18,13.18373072,2.173913043,0,0.838235259,0.833333313,0.843137264,27.17391396,0
60,21,NIC,2102,Frente Sandinista de Liberacion Nacional,NIC_ Sandinista National Liberation Front,46,716,NIC,Sandinista National Liberation Front,FSLN,NIC_ Sandinista National Liberation Front,NIC_ FSLN,1,4,3,3.666666667,9,10,7.333333333,5,4,10,0.980392158,0.907407403,5.520090103,2.467188068,0,1.090244055,41.30434783,0.899999976,0.555555582,3.850147486,0.520502567,-1.074019074,-1.550359607,0.089225292,1.396832943,1.746343017,1.132503629,0.665882945,0.870370388,0.944444418,0.980392158,0.068705216,0.039215684,0.020211302,0.65625,1,8.297222222,1.975,1.990913868,1145.783734,18,13.18373072,68.47826087,1,0.943899751,0.907407403,0.980392158,41.30434799,1
66,22,PAN,2205,Partido Cambio Democratico,PAN_ Democratic Change,47,760,PAN,Democratic Change,CD,PAN_ Democratic Change,PAN_ CD,0,4,0,7.5,7.666666667,6.25,7.333333333,7.333333333,3,6.333333333,0.541666687,0.447916687,0.432909697,3.183726654,2.397895336,0,3.846153846,0.050000001,0.125,2.302585125,-1.15186882,-0.678133488,0.351946652,-0.886204123,-0.957781374,-1.106385946,-0.543600976,-0.636810899,0.458333343,0.4375,0.541666687,0.093738191,0.121113032,0.164095819,0.428571433,0,5.075,0,1.804181933,4599.849256,19,19.54486176,19.71830986,1,0.494791687,0.447916687,0.541666687,3.846153736,0
62,22,PAN,2201,Partido Revolucionario Democratico,PAN_ Democratic Revolutionary Party,48,761,PAN,Democratic Revolutionary Party,PRD,PAN_ Democratic Revolutionary Party,PAN_ PRD,3,3,3,7.5,7,2,4.333333333,5,NA,4.5,1,0.895833373,0.432909697,3.183726654,2.484906673,2.335374832,52.56410256,0.779999971,0.5,3.367295742,-1.15186882,-0.678133488,0.420974761,1.203230143,2.104618788,1.343604803,0.91623199,0.259432107,0.916666687,0.875,1,0.058321182,0.087481774,0,0.785714269,0,9.466666667,9.333333333,0.125163138,4599.849256,19,19.54486176,36.61971831,0,0.947916687,0.895833373,1,52.56410217,1
64,22,PAN,2203,Partido Molirena,PAN_ Liberal Republican Nationalist Movement,50,763,PAN,Liberal Republican Nationalist Movement,MOLIRENA,PAN_ Liberal Republican Nationalist Movement,PAN_ MOLIRENA,4,NA,0,9,NA,3,7,7,NA,7,0.791666687,0.427083343,0.432909697,3.183726654,2.484906673,0,5.128205128,0.779999971,0.375,3.258096457,-1.15186882,-0.678133488,0.420974761,-0.886204123,-0.877191901,1.343604803,0.429620981,0.167511269,0.416666687,0.4375,0.791666687,0.130410135,0.121113032,0.115420952,0.5,0,9.808333333,0,2.38031745,4599.849256,19,19.54486176,2.816901408,0,0.609375,0.427083343,0.791666687,5.128205299,0
63,22,PAN,2202,Partido Panamenista (Arnulfista),PAN_ Panemeñista Party,51,764,PAN,Panemeñista Party,PP,PAN_ Panemeñista Party,PAN_ PP,4,4,4,6.333333333,7.5,4.5,7,7.5,3,5.5,1,0.78125,0.432909697,3.183726654,2.484906673,2.367123604,21.79487179,0.649999976,0.5,4.330733299,-1.15186882,-0.678133488,0.420974761,1.231635451,0.170471326,0.907305062,0.91623199,1.070426345,0.75,0.8125,1,0.089087076,0.097807594,0,0.857142866,0,9.808333333,9.666666667,0.13248919,4599.849256,19,19.54486176,30.98591549,0,0.890625,0.78125,1,21.79487228,0
