,country,ctyname,ptyid,ptyname,CPARTY,valueinf,routinization,polar,enpp,subsid,execoff,legisoff,formation,group,page,zpolar,zenpp,zsubsid,zexecoff,zlegisoff,zformation,zgroup,zpage,formal,informal,loyalty,formal_uncertain,inform_uncertain,value_uncertain,dependency,dominant,experience,president,coalition,gdppc,regime,volat,seatshare_t2,president_t2,partyinst_t1,routinization_t1,valueinf_t1,seatshare_t1,incumbent_t2
81,25,RDO,2503,Partido de la Liberacion Dominicana,DOM_ Dominican Liberation Party,0.866666675,0.816666663,0.420324355,2.493532973,2.484906673,2.238046646,53.93258427,0.649999976,0.200000003,3.555348158,-1.156006098,-1.059463739,0.420974761,1.11615169,2.190641165,0.907305062,-0.251634389,0.417729259,0.733333349,0.899999976,0.866666675,0.217306748,0.111803398,0.091287084,0.699999988,0,8.497222222,8.375,0.115310848,3658.958286,12,22.0931981,57.37704918,1,0.841666698,0.816666663,0.866666675,53.93258286,1
79,25,RDO,2501,Partido Revolucionario Dominicana,DOM_ Modern Revolutionary Party,0.800000012,0.850000024,0.420324355,2.493532973,2.484906673,2.555934429,33.70786517,0.949999988,0.400000006,4.234106541,-1.156006098,-1.059463739,0.420974761,1.400562406,0.919319689,1.914150596,0.526943207,0.989088714,0.800000012,0.899999976,0.800000012,0.149071202,0.111803398,0.149071202,0.699999988,0,12.175,11.88333333,0.255933374,3658.958286,12,22.0931981,40.98360656,0,0.825000048,0.850000024,0.800000012,33.70786667,0
80,25,RDO,2502,Partido Reformista Social Cristiano,DOM_ Social Christian Reformist Party,0.866666675,0.6875,0.420324355,2.493532973,2.484906673,2.397895336,12.35955056,0.560000002,0.600000024,3.80666256,-1.156006098,-1.059463739,0.420974761,1.259166598,-0.422631025,0.605251491,1.305520892,0.629278541,0.75,0.625,0.866666675,0.184256941,0.144337565,0.091287084,0.600000024,1,10.14722222,10,0.137343556,3658.958286,12,22.0931981,1.639344262,0,0.777083337,0.6875,0.866666675,12.35955048,0
39,16,ECU,1603,Partido Roldosista Ecuatoriano,ECU_ Fuerza Ecuador,0.738095224,0.548611164,3.252504826,6.122335202,3.295836926,0.409161955,6,0.079999998,0.142857149,3.258096457,-0.2249486,0.945440114,1.06430459,-0.520131409,-0.822391033,-1.005701423,-0.474085122,0.167511269,0.555555582,0.541666687,0.738095224,0.06546203,0.043519415,0.074124932,0.192307696,0,2.247222222,0.505555556,1.008566022,2873.150369,8,31.07736343,2.4,0,0.643353224,0.548611164,0.738095224,6,0
42,16,ECU,1606,Parido Sociedad Patriotico,ECU_ January 21 Patriotic Society Party,0.538461566,0.569444418,3.252504826,6.122335202,2.197224617,1.182919383,24,0.200000003,0.071428575,2.079441547,-0.2249486,0.945440114,0.192749888,0.172140896,0.30908519,-0.60296315,-0.752148569,-0.824646831,0.555555582,0.583333313,0.538461566,0.098969281,0.108203456,0.114789538,0.230769232,0,2.294444444,2.263888889,0.03009803,2873.150369,8,31.07736343,15.2,0,0.553952992,0.569444418,0.538461566,24,0
40,16,ECU,1604,Movimiento Unidad Plurinacional Pachakutik,ECU_ Pachakutik Plurinational Unity Movement - New Country,0.642857134,0.544871807,3.252504826,6.122335202,2.639057398,0,6,0.059999999,0.857142866,2.564949274,-0.2249486,0.945440114,0.543266118,-0.886204123,-0.822391033,-1.072824478,2.306549072,-0.415960252,0.512820542,0.576923072,0.642857134,0.063530207,0.054203637,0.084765106,0.416666657,0,4.316666667,0,1.670846581,2873.150369,8,31.07736343,3.2,0,0.593864441,0.544871807,0.642857134,6,0
38,16,ECU,1602,Izquierda Democratica,ECU_ Party of the Democratic Left,0.794871807,0.671474338,3.252504826,6.122335202,3.433987141,0,7,0.649999976,0.214285716,3.637586117,-0.2249486,0.945440114,1.173902392,-0.886204123,-0.75953126,0.907305062,-0.196021706,0.486954838,0.717948735,0.625,0.794871807,0.066273771,0.06818182,0.083688699,0.192307696,0,9.319444444,0,2.334029913,2873.150369,8,31.07736343,2.4,0,0.733173072,0.671474338,0.794871807,7,0
37,16,ECU,1601,Partido Social Cristiano,ECU_ Social Christian Party,0.738095224,0.692307711,3.252504826,6.122335202,3.433987141,1.609437943,13,0.400000006,0.285714298,4.043051243,-0.2249486,0.945440114,1.173902392,0.553742409,-0.382372499,0.068267204,0.082041748,0.828263819,0.717948735,0.666666687,0.738095224,0.066273771,0.074226961,0.074124932,0.041666668,0,7.552777778,4,1.515737534,2873.150369,8,31.07736343,8.8,0,0.715201497,0.692307711,0.738095224,13,0
51,18,GTM,1807,Unidad Nacional de la Esperanza,GTM_ National Unity for Hope,0.444444448,0.695601821,3.137057781,3.743292363,1.945910096,0.674926639,32.27848101,0.100000001,0.400000006,1.791759491,-0.262900919,-0.368974894,-0.006623776,-0.282354653,0.829468787,-0.938578367,0.526943207,-1.066809416,0.703703701,0.6875,0.444444448,0.092128471,0.097807594,0.14433758,0.111111112,0,5.036111111,0.963888889,1.623779058,2073.094747,12,38.18911728,15.18987342,0,0.570023119,0.695601821,0.444444448,32.27848053,1
50,18,GTM,1805,Partido Patriota,GTM_ Patriot Party,0.407407403,0.616402149,3.137057781,3.743292363,2.079441547,0,18.35443038,0.100000001,0,1.945910096,-0.262900919,-0.368974894,0.099309839,-0.886204123,-0.045794081,-0.938578367,-1.030212045,-0.937049806,0.518518507,0.714285731,0.407407403,0.062113002,0.10910894,0.128800258,0.111111112,0,0,0,0,2073.094747,12,38.18911728,35.44303797,1,0.511904776,0.616402149,0.407407403,18.35443115,0
